phrase,Relevancy,Search Volume,Seller1,Seller2,Seller3,Seller4,Seller5,Seller6,Seller7,Seller8,Seller9,Seller10
bed sheets 140x200,,752,10,60,1,7,67,16,107,58,19,86
spannbettlaken 160x200cm boxspringbett,,743,5,10,17,3,42,51,25,30,53,8
topper bezug 160x200,,740,14,65,17,31,55,28,15,19,53,13
bettlaken topper 180x200,,740,1,23,7,14,48,24,3,22,117,2
bettlaken 90x200cm baumwolle,,665,3,26,27,2,1,2,8,31,25,32
topper bezug 140x200,,655,20,46,5,4,22,34,2,29,26,1
spannbettlaken topper 200x200,,625,4,24,14,45,30,7,2,33,78,1
spannbettlaken 90x200 biber,,601,13,25,28,15,1,9,5,54,27,32
spannbettlaken für topper,,589,3,70,10,42,21,43,2,8,55,1
bettlaken 140x200 boxspringbett,,532,8,22,3,6,32,48,4,23,37,10
spannbettlaken für topper 180x200,,487,2,32,12,38,67,30,4,11,106,1
bettlaken baumwolle,,461,1,2,25,22,3,11,36,10,27,39
bettlaken 180x220,,443,11,13,19,35,44,62,29,8,20,46
spannbettlaken 180x200cm biber,,431,11,14,29,28,52,9,7,22,42,13
topper 180x200cm bezug,,426,3,40,7,26,41,29,1,19,21,2
topper spannbettlaken 120x200,,395,14,24,37,3,19,25,17,42,8,21
spannbettlaken topper,,336,3,61,15,44,16,50,2,22,66,1
bettlaken für topper,,331,3,87,31,54,35,15,2,19,64,1
bettlaken 90x200cm,,12743,12,29,22,5,1,3,39,31,23,69
bettlaken 90x200cm kinder,,804,8,14,6,27,21,45,20,240,29,154
spannleintuch 90x200,,802,4,31,21,18,2,30,27,24,1,23
bettlaken 90x200,,762,9,42,29,2,1,3,51,32,28,50
bedsheet,,632,2,86,1,6,30,29,57,47,17,35
spannbettlaken 180x200cm frottee,,565,11,7,12,73,14,26,32,58,39,21
spannbettlaken 90x200cm biber,,561,7,49,48,24,5,8,4,43,62,35
topperbezug 180x200cm,,561,3,14,21,31,65,37,4,48,62,2
laken 90x200,,554,3,49,26,25,1,12,8,31,24,34
spannbettlaken 90x200cm frottee,,544,14,16,24,35,13,53,20,42,50,31
bettlaken 180x200 topper,,506,3,26,25,30,51,11,2,29,93,1
topperbezug 180x200cm boxspringbett,,476,4,26,13,29,112,34,3,31,51,2
topper bezug 200x200,,428,15,226,5,112,31,53,13,29,161,1
bettlaken 140x220,,407,16,21,12,22,25,24,20,3,26,64
bettlaken 140x200 weiß,,346,3,29,1,2,28,54,36,46,69,12
bettlaken 100x200 2er pack,,329,18,23,19,65,1,20,21,29,34,77
betttuch 140x200,,301,9,25,3,4,27,2,33,58,38,28
topper bezug 180x200,,2645,2,39,28,37,75,30,3,35,51,1
bettlaken weiß,,693,8,61,3,12,54,187,199,22,174,57
topper bezug,,492,5,107,25,269,27,110,4,51,254,2
rundbett 200x200,,471,N/R,9,>306,>306,12,>306,>306,>306,>306,13
topper spannbettlaken 200x200,,452,5,32,22,29,27,41,2,28,50,1
bezug topper 180x200,,426,1,82,26,30,122,34,2,84,29,3
bezug für topper,,393,4,279,32,56,23,78,5,35,253,2
weiße bettlaken,,386,10,52,8,29,74,154,44,21,164,16
weißes bettlaken,,357,16,88,4,19,65,163,170,22,110,62
spannbettlaken 140x200cm weiß,,336,2,21,3,1,35,144,28,49,50,39
bezug für topper 180x200,,305,3,96,38,88,168,28,5,26,106,4
